日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
2020/11/21,13:13,午餐,鳕鱼堡套餐,44,1份,微信-银行卡,肯德基门店,
2020/11/21,8:11,地铁,上沙-景田,3,1次,微信,乘车码小程序,
2020/11/20,19:08,地铁,景田-上沙,3,1次,微信,乘车码小程序,
2020/11/17,17:17,地铁,深大-上沙,4,1次,微信,乘车码小程序,
2020/11/17,13:24,地铁,车公庙-深大,3,1次,微信,乘车码小程序,
2020/11/15,7:37,娱乐,微信红包（单发）发给撒哈拉牧马人,117,1次,微信-银行卡,微信,打台球
2020/11/14,18:12,剪发,剪发,38.25,1次,微信-银行卡,优剪沙尾工作室,
2020/11/13,16:27,地铁,铁路公园-车公庙,6,1次,微信-银行卡,乘车码小程序,
2020/11/13,13:07,地铁,车公庙-铁路公园,6,1次,微信-银行卡,乘车码小程序,
2020/11/12,11:45,地铁,高新南-上沙,4,1次,微信-银行卡,乘车码小程序,
2020/11/12,9:43,地铁,上沙-高新南,4,1次,微信-银行卡,乘车码小程序,
2020/11/7,20:54,地铁,清湖北-上沙,6,1次,微信,乘车码小程序,
2020/11/7,17:44,地铁,上沙-清湖北,6,1次,微信,乘车码小程序,
2020/11/6,21:04,地铁,深圳湾公园-上沙,3,1次,微信,乘车码小程序,
2020/11/1,15:30,娱乐,微信红包（单发）发给撒哈拉牧马人,63,1次,微信-银行卡,微信,打台球
2020/10/31,18:37,地铁,高新园-上沙,4,1次,微信,乘车码小程序,
2020/10/31,17:20,地铁,上沙-高新园,4,1次,微信,乘车码小程序,
