日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
2020/10/9,10:00,优惠券,中国联通-美团外卖满5减5满减券,3,1张,支付宝,联通手机营业厅APP,
2020/10/10,8:35,网购,电脑防尘罩,7.92,1个,支付宝,拼多多APP,
2020/10/12,19:13,网购,OPPO Enco W51 耳机保护套,17.8,1个,支付宝,拼多多APP,
2020/10/12,10:41,网购,口呼吸矫正贴,5.4,1个,支付宝,拼多多APP,
2020/10/12,10:38,网购,眼罩,4.65,1个,支付宝,拼多多APP,
2020/10/15,10:45,网购,商户单号XP1120101510501832786017007458,99.1,1个,支付宝,拼多多APP,
2020/10/13,18:43,晚餐,快餐结账1602585824605,24,1次,支付宝-花呗,黔派虾子羊肉粉-天安店,
2020/10/13,22:49,网购,Edo洗衣刷除尘刷家用鞋刷多功能清洁神器长柄刷子刷鞋随机 等多件,123,1次,支付宝,淘宝APP,天猫超市：总价170；老蒋47
2020/10/13,22:41,网购,天猫超市卡288元面额（电子卡）,288,1次,支付宝,淘宝APP,天猫超市
2020/10/13,18:35,网购,维德医疗医用外科口罩一次性灭无菌防粉尘透气熔喷布三层防雾男女,13.5,1次,支付宝,淘宝APP,
2020/10/13,10:23,网购,猫人60支纯棉男士内裤抗菌无痕平角裤性感潮流全棉大码运动四角裤,0,1次,支付宝,淘宝APP,
2020/10/9,19:51,剪发,上沙街市工作室,35,1次,支付宝,优减,
2020/10/14,13:35,保险,相互宝分摊-10月第1期-*博,4.23,1期,支付宝,支付宝APP,
,,,,,,,,
2020/10/9,19:02,晚餐,烩面,16,1次,支付宝,谚语羊肉__面,
2020/10/11,16:57,饮品,深圳全家购物：红茶+烤肠。。。,15.8,1次,支付宝,佳和大厦店,
2020/10/11,16:49,午餐,普宁肠粉（生蚝）,25,1次,支付宝,路边店面,
2020/10/11,4:51,夜宵,烤肠,3,1次,支付宝,路边摊,
2020/10/11,4:50,夜宵,串串,12,1次,支付宝,路边摊,
2020/10/14,20:44,饮品,脉动,4.5,1瓶,支付宝,小商店,
