日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注,大于50,大于100,大于500,大于1000
2020/10/1,18:39,晚餐,大掌柜凉皮肉夹馍(车公庙店)外卖订单,14.6,1次,支付宝,饿了么APP,,14.6,14.6,14.6,14.6
2020/10/1,18:48,超市,巧克力+南京烟+酸奶,36,1次,支付宝,超市,,36,36,36,36
2020/10/2,9:59,外卖红包,增量券,14.38,4张,美团月付,美团外卖APP,,14.38,14.38,14.38,14.38
2020/10/2,10:00,水果,切果吧.甘草水果(会展中心店),17.39,1次,美团月付,美团外卖APP,,17.39,17.39,17.39,17.39
2020/10/2,10:02,饮品,贡茶,6.8,1次,美团月付,美团外卖APP,,6.8,6.8,6.8,6.8
2020/10/2,13:09,午餐,陕西西安小吃,16.79,1次,美团月付,美团外卖APP,,16.79,16.79,16.79,16.79
2020/10/3,12:31,水果,切果吧.甘草水果(会展中心店),16.7,1次,美团月付,美团外卖APP,,16.7,16.7,16.7,16.7
2020/10/3,12:33,午餐,杭州小笼包,10.27,1次,美团月付,美团外卖APP,,10.27,10.27,10.27,10.27
2020/10/3,12:34,代金券,外卖代金券 ￥3*3,0.99,1次,美团月付,美团外卖APP,,0.99,0.99,0.99,0.99
2020/10/3,21:41,网购,豆瓣网 豆瓣电影日历2021,168,1次,支付宝,豆瓣APP,李佳文生日,168,168,168,168
2020/10/3,8:38,夜宵,周黑鸭,58.89,1次,美团月付,美团外卖APP,,58.89,58.89,58.89,58.89
2020/10/4,8:54,单车,美团单车,1.2,1次,微信,美团APP,,1.2,1.2,1.2,1.2
2020/10/4,9:54,单车,单车180天,54.99,180天,美团月付,美团APP,,54.99,54.99,54.99,54.99
2020/10/4,10:00,电影,电影：我和我的家乡,17.89,1次,美团月付,美团APP,,17.89,17.89,17.89,17.89
2020/10/4,10:10,地铁,沙尾-深圳北站,5,1次,微信,乘车码小程序,,5,5,5,5
2020/10/4,12:26,购物,匡威灯绒外套+短袖,250,1次,支付宝,深圳北站东广场商场,,250,250,250,250
2020/10/4,12:33,购物,安踏拉链卫衣,395,1次,支付宝,深圳北站东广场商场,,395,395,395,395
2020/10/4,12:38,超市,饮料*3,13.5,1次,支付宝-花呗,7-Eleven便利店,请大哥和承华一人一瓶,13.5,13.5,13.5,13.5
2020/10/4,12:42,午饭,凉皮,14.08,,微信,拉拉的外婆凉皮,,14.08,14.08,14.08,14.08
2020/10/4,13:40,午餐,凉皮,12.5,1次,支付宝,深圳北站东广场商场,,12.5,12.5,12.5,12.5
2020/10/4,13:44,娱乐,桌球,61.99,2小时,美团月付,领跑桌球棋牌俱乐部,,61.99,61.99,61.99,61.99
2020/10/4,15:10,饮料,3瓶饮料,15,3瓶,支付宝,MTDP-领跑桌球棋牌俱乐部,,15,15,15,15
2020/10/4,20:10,打车,美团打车,1.27,1次,美团月付,美团外卖APP,,1.27,1.27,1.27,1.27
2020/10/4,20:14,晚餐,巴犀烧烤自助(民治店),90,1次,支付宝,巴犀烧烤自助(民治店),,90,90,90,90
2020/10/4,22:55,地铁,民治-上沙,5,1次,微信,乘车码小程序,,5,5,5,5
2020/10/4,23:12,烟,芙蓉王,30,1盒,支付宝,台球厅,,30,30,30,30
2020/10/5,7:10,娱乐,打桌球,281,1晚,支付宝,台球厅,和大哥、承华一起,281,281,281,281
2020/10/5,13:38,午餐,饺子,11.79,1次,美团月付,美团外卖APP,,11.79,11.79,11.79,11.79
2020/10/6,15:21,晚餐,韩国料理,24.79,1次,美团月付,美团外卖APP,,24.79,24.79,24.79,24.79
2020/10/6,15:22,外卖券,代金券,3.99,1次,美团月付,美团外卖APP,,3.99,3.99,3.99,3.99
2020/10/6,15:24,外卖红包,增量券,49.99,50张,美团月付,美团外卖APP,,49.99,49.99,49.99,49.99
2020/10/6,16:18,饮品,贡茶,7.8,1次,美团月付,美团外卖APP,,7.8,7.8,7.8,7.8
2020/10/6,21:08,饮品,智能货柜消费：两瓶伊利水蜜桃饮料,13,1瓶,支付宝,友宝售货机,难喝的要死,13,13,13,13
2020/10/7,13:51,午餐,永和大王黑椒牛柳拼宫保鸡丁,19.49,1次,美团月付,美团外卖APP,,19.49,19.49,19.49,19.49
2020/10/7,13:51,代金券,代金券,4.49,1次,美团月付,美团外卖APP,,4.49,4.49,4.49,4.49
2020/10/7,18:02,水果,鲜果派对,16.19,1次,美团月付,美团外卖APP,,16.19,16.19,16.19,16.19
2020/10/7,18:11,外卖券,代金券,3.99,2张,美团月付,美团外卖APP,,3.99,3.99,3.99,3.99
2020/10/7,18:12,晚餐,必胜客,53.49,1次,美团月付,美团外卖APP,,53.49,53.49,53.49,53.49
2020/10/8,3:13,网购,鱼粮,0.25,1个,支付宝,拼多多APP,,0.25,0.25,0.25,0.25
